,,,,,DCBs (Data Control Boards),,,,,,,,,
,,,,,,,,,,,,,,
,,,,Initial QA,,,,,Final QA,,,,,
,ID,Location,Assembled,Fused,PRBS good,1.5V current [A],2.5V current [A],Burned in,Stave Test Slot JD10,Stave Test Slot JD11,Comments,,,
,A1,,,,,,,,,,,,,
,A2,,,,,,,,,,,,,
,A3,SYR,Yes,Yes,,,,,,,,,,
,A4,,,,,,,,,,,,,
,A5,UMD,,,,,,,,,BAD,,,
,A6,UMD,,Yes,,,,,,,,,,
,A7,,,,,,,,,,,,,"
"
,A8,,,,,,,,,,,,,
,A9,"SYR
",yes,Yes,yes,yes,yes,,yes,yes,Did not check ADC 2 during initial QA,,,
,A10,UMD,,,,,,,,,,,,
WVJCE-110,110,UMD,,,,,,,,,,,,
WVJCE-111,111,UMD,,,,,,,,,,,,
WVJCE-112,112,UMD,,,,,,,,,,,,
WVJCE-113,113,UMD,,,,,,,,,,,,
WVJCE-114,114,UMD,,,,,,,,,,,,
WVJCE-115,115,UMD,,,,,,,,,,,,
WVJCE-116,116,UMD,,,,,,,,,,,,
WVJCE-117,117,UMD,,,,,,,,,,,,
WVJCE-118,118,UMD,,,,,,,,,,,,
WVJCE-119,119,UMD,,,,,,,,,,,,
WVJCE-120,120,UMD,,,,,,,,,,,,
WVJCE-121,121,UMD,,,,,,,,,,,,
WVJCE-122,122,UMD,,,,,,,,,,,,
WVJCE-123,123,UMD,,,,,,,,,,,,
WVJCE-124,124,UMD,,,,,,,,,,,,
WVJCE-125,125,UMD,,,,,,,,,,,,
WVJCE-126,126,UMD,,,,,,,,,,,,
WVJCE-127,127,UMD,,,,,,,,,,,,
WVJCE-128,128,UMD,,,,,,,,,,,,
WVJCE-129,129,UMD,,,,,,,,,,,,
WVJCE-130,130,UMD,,,,,,,,,,,,
WVJCE-131,131,UMD,,,,,,,,,,,,
WVJCE-132,132,UMD,,,,,,,,,,,,
WVJCE-133,133,UMD,,,,,,,,,,,,
WVJCE-134,134,UMD,,,,,,,,,,,,
WVJCE-135,135,UMD,,,,,,,,,,,,
WVJCE-136,136,UMD,,,,,,,,,,,,
WVJCE-137,137,UMD,,,,,,,,,,,,
WVJCE-138,138,UMD,,,,,,,,,,,,
WVJCE-139,139,UMD,,,,,,,,,,,,
WVJCE-140,140,UMD,,,,,,,,,,,,
WVJCE-141,141,UMD,,,,,,,,,,,,
WVJCE-142,142,UMD,,,,,,,,,,,,
WVJCE-143,143,UMD,,,,,,,,,,,,
WVJCE-144,144,UMD,,,,,,,,,,,,
WVJCE-145,145,UMD,,,,,,,,,,,,
WVJCE-146,146,UMD,,,,,,,,,,,,
WVJCE-147,147,UMD,,,,,,,,,,,,
WVJCE-148,148,UMD,,,,,,,,,,,,
WVJCE-149,149,UMD,,,,,,,,,,,,
WVJCE-150,150,UMD,,,,,,,,,,,,
WVJCE-151,151,UMD,,,,,,,,,,,,
WVJCE-152,152,UMD,,,,,,,,,,,,
WVJCE-153,153,UMD,,,,,,,,,,,,
WVJCE-154,154,UMD,,,,,,,,,,,,
WVJCE-155,155,UMD,,,,,,,,,,,,
WVJCE-156,156,UMD,,,,,,,,,,,,
WVJCE-157,157,UMD,,,,,,,,,,,,
WVJCE-158,158,UMD,,,,,,,,,,,,
WVJCE-159,159,UMD,,,,,,,,,,,,
WVJCE-160,160,UMD,,,,,,,,,,,,
WVJCE-161,161,UMD,,,,,,,,,,,,
WVJCE-162,162,UMD,,,,,,,,,,,,
WVJCE-163,163,UMD,,,,,,,,,,,,
WVJCE-164,164,UMD,,,,,,,,,,,,
WVJCE-165,165,UMD,,,,,,,,,,,,
WVJCE-166,166,UMD,,,,,,,,,,,,
WVJCE-167,167,UMD,,,,,,,,,,,,
WVJCE-168,168,UMD,,,,,,,,,,,,
WVJCE-169,169,UMD,,,,,,,,,,,,
WVJCE-170,170,UMD,,,,,,,,,,,,
